dataset,run_dir,accepted_slices,total_centerline_slices,slice_success_rate,mean_cavity_quality,max_radius_jump,radius_roughness_cv,mean_inlier_ratio,regularized_radius_outliers,ransac_candidates,mesh_watertight,mesh_components,mesh_vertices,mesh_faces,mesh_bounds_x,mesh_bounds_y,mesh_bounds_z
2800000-dp,outputs,132,132,1.0,0.1260368941145152,0.0027662120923444417,0.013845480235828246,0.6269444444444444,0,0,True,1,8450,16896,1.2754094898700714,0.11191598698496819,0.15195173397660255
2750000-single,outputs_2750000,137,137,1.0,0.13887017755729933,0.0018548355132315883,0.01309559028405912,0.6319829683698297,4,0,True,1,8770,17536,1.3313111364841461,0.09227365627884865,0.11382155492901802
2750000-dp,outputs_2750000_dp,137,137,1.0,0.1578505923129273,0.0018621232462813914,0.013180868591421924,0.6203284671532846,0,4,True,1,8770,17536,1.3322338163852692,0.08890898153185844,0.11297784000635147
2750000-hybrid-dp,outputs_2750000_hybrid_dp,137,137,1.0,0.14626878777732127,0.00208208085760795,0.015411385629806916,0.6439294403892944,3,4,True,1,8770,17536,1.3256296813488007,0.09035064280033112,0.10697184130549431
