slice_index,station,cx,cy,axis_a,axis_b,theta,equivalent_radius,candidate_aspect,inlier_ratio,perimeter_completeness,soil_inside_points,soil_inside_point_frac,soil_inside_pixels,void_outside_pixels,soil_inside_frac,void_outside_frac,balanced_accuracy,cavity_quality,regularized_cx,regularized_cy,regularized_axis_a,regularized_axis_b,regularized_theta,regularized_equivalent_radius
0,-0.5679392218589783,0.0013821227444110941,0.005873219689500092,0.030134313304712335,0.04742458551168432,-0.06027352685212307,0.0378035357890663,1.3814180158258846,0.6516666666666666,1.0,4692,0.8615497612926919,416,3471,1.0,0.9567254685777288,0.02163726571113561,0.09022340555759577,0.003181025060438626,0.0040280873930137245,0.03325340331356976,0.03896727865697739,-0.0096964734045543,0.0359971475705052
1,-0.5579392218589783,0.00017536646607484277,0.0021142495756436056,0.030106467871005675,0.055728226274211715,-0.05933432927578894,0.04096071354154721,1.36287487314763,0.6216666666666667,1.0,5287,0.9046885694729637,345,3604,0.9857142857142858,0.9756361667569031,0.0193247737644056,0.05925193931097422,0.004270556006318678,0.0030949499547103607,0.0331517081834708,0.03898777978366193,0.056296118494093175,0.03595151593617969
2,-0.5479392218589783,0.013440467749380621,0.005798141118407551,0.016372178526726608,0.048621515383519866,-0.036801696043653256,0.028214183137191325,1.5210467785507105,0.65,1.0,2992,0.4529901589704769,222,3462,1.0,0.9058084772370487,0.04709576138147567,0.35555639666919003,0.005092912956212346,0.0022513387327848166,0.033134556247342246,0.03904792766389119,0.11552501115404613,0.03596992848924437
3,-0.5379392218589782,0.000933786903526607,-0.003521054046604015,0.05222152848156027,0.030114703086031192,1.383354846063958,0.03965647267371253,1.7271750551492564,0.6516666666666666,1.0,6232,0.8245567610478962,370,3520,0.9946236559139785,0.9586056644880174,0.02338533979900204,0.11433051071712096,0.005648095910119628,0.0014972537272370935,0.03320194750518411,0.03914772229766517,0.16799020457530456,0.03605247038241075
4,-0.5279392218589782,0.013648599831348585,-0.0008323434352633058,0.015742784275441832,0.05431283689776419,-0.07738289789040508,0.02924098621231437,1.8195823062183154,0.63,1.0,3730,0.4398066265770546,182,3545,1.0,0.9179181771103055,0.04104091144484723,0.3529218252564556,0.005936104868040523,0.00083269493806719,0.03335388195699638,0.03928716368498389,0.21369169875786848,0.036199163249640835
5,-0.5179392218589782,0.013979456941956387,0.00024365373753106254,0.015980328723841947,0.058907638463263454,-0.057824712443329256,0.03068164641912467,2.00586636367691,0.6433333333333333,1.0,2241,0.4422735346358792,178,3610,1.0,0.933781686497672,0.03310915675116399,0.35880402605091766,0.005956939829975034,0.0002576623652751071,0.03359035960277906,0.03946625182584733,0.2526294937017378,0.03640996554521918
6,-0.5079392218589782,-0.012732824365456722,9.357199505220104e-05,0.016331668266080852,0.06382082621991633,-0.062243817181177115,0.03228467999362652,2.1381243228072746,0.6266666666666667,1.0,2469,0.4758142223935248,167,3669,0.9940476190476191,0.9465944272445821,0.029678976853899454,0.3284897539667245,0.005710600795923159,-0.00022784399113915527,0.033911380442532155,0.03968498672025549,0.2848035894069127,0.036684774532868815
7,-0.4979392218589782,0.012571564610736602,-0.0021420865112335642,0.01653875586913803,0.06058517730236919,-0.09393319529675369,0.031654438183173095,2.072436585080173,0.665,1.0,2417,0.4624067342643964,176,3628,1.0,0.937952430196484,0.031023784901758014,0.3574995217141764,0.005197087765884924,-0.0006238241311755965,0.03431694447625586,0.03994336836820862,0.3102139858733947,0.03702342980446909
8,-0.4879392218589782,-0.0004912713745952375,0.0016344273699918006,0.03129505323328844,0.06199763107988046,-0.08544791355132694,0.04404791896313193,2.092817408755629,0.6766666666666666,1.0,4641,0.8811467628631099,324,3638,1.0,0.9779569892473118,0.011021505376344085,0.08042402379596231,0.0037057228068199297,-0.0005954749543696401,0.03485721305194005,0.040314267524031486,0.28258489415089744,0.03748657109043281
9,-0.4779392218589782,0.00026969474975331993,-0.0013702070711584487,0.031837992661280554,0.06269476586167276,-0.05855680662025505,0.04467746070900449,2.0539383357357575,0.6983333333333334,1.0,4766,0.8950234741784038,328,3642,1.0,0.9800861141011841,0.009956942949407965,0.07330860719874803,0.001557393921685528,-0.000981451811047744,0.03611483700300899,0.041795077542879665,0.2213712436809097,0.03885128586017741
10,-0.4679392218589782,-0.000991909989207847,0.001808604302358183,0.0582889563985942,0.03099120950924433,1.441533790682955,0.04250229711232136,1.9859744152693548,0.6983333333333334,1.0,4440,0.8297514483274154,348,3587,1.0,0.970508658008658,0.014745670995670996,0.11889023858468822,0.0009001672209195718,-0.000533274969545823,0.037162770366225395,0.041729551912352066,0.30003167579650253,0.039380017206753756
