slice_index,station,cx,cy,axis_a,axis_b,theta,equivalent_radius,candidate_aspect,inlier_ratio,perimeter_completeness,soil_inside_points,soil_inside_point_frac,soil_inside_pixels,void_outside_pixels,soil_inside_frac,void_outside_frac,balanced_accuracy,cavity_quality,regularized_cx,regularized_cy,regularized_axis_a,regularized_axis_b,regularized_theta,regularized_equivalent_radius
0,-0.5679392218589783,0.0015602116612392317,0.014057681362519524,0.03564497826068581,0.029674258999924305,1.2109066357277185,0.03252288912372734,1.3814180158258846,0.5483333333333333,1.0,3897,0.7155710613294161,535,3074,0.9907407407407407,0.877283105022831,0.06598807711821411,0.15596186803770354,-0.002567172113746512,0.008522980858511862,0.03705536386896235,0.03570145628528597,0.8825312814633326,0.0363721109272355
1,-0.5579392218589783,4.784148663039477e-05,0.008488758936921997,0.04349465464279219,0.03025211699135357,1.4088585781916414,0.03627403176863952,1.36287487314763,0.5983333333333334,1.0,4734,0.8100616016427105,446,3355,0.9955357142857143,0.9329810901001112,0.03574159780708724,0.11364647501711159,0.0004282163338987549,0.006577453934604152,0.03564547056123119,0.036612176322955006,0.6660936057702425,0.03612559000628915
2,-0.5479392218589783,0.000317151513269854,0.00024278865772773626,0.030553196820883994,0.049235080396316806,-0.1520926725952406,0.03878516600249011,1.5210467785507105,0.665,1.0,5559,0.8416351249053747,400,3476,1.0,0.9538968166849616,0.02305159165751921,0.1053126419379258,0.003015122159073943,0.004832472423727901,0.03443981671273948,0.037442638359560194,0.4773968997736309,0.0359098538335182
3,-0.5379392218589782,0.00042630260777041276,-0.0005145680895523787,0.028330499001998573,0.05136983542458148,-0.2835411822887658,0.038148827914222166,1.7271750551492564,0.605,1.0,5978,0.7909499867689865,356,3504,1.0,0.9501084598698482,0.024945770065075923,0.12647525800476314,0.005193545361779054,0.003288036325883107,0.03343840232348719,0.03819284239510153,0.31644116347349815,0.035736642677858574
4,-0.5279392218589782,0.001108243825596684,-0.0022304468480336256,0.030067439835461684,0.05393194611255432,-0.14484040882445304,0.0402690395334752,1.8195823062183154,0.6633333333333333,1.0,7055,0.8318594505364934,362,3536,1.0,0.9603476371537208,0.019826181423139598,0.11153323114412608,0.006963485942014085,0.0019441456410697697,0.032641227393474345,0.03886278842957902,0.1832263968698441,0.03561641635923486
5,-0.5179392218589782,0.013464319980131057,-0.0009644645397112714,0.016248862272684447,0.05868854351665459,-0.07657476382422933,0.030880771696746315,2.00586636367691,0.6566666666666666,1.0,2296,0.45312808367870533,178,3608,1.0,0.933264355923435,0.033367822038282466,0.3591125583843168,0.008324943899779039,0.000800800369287891,0.03204829192270093,0.039452476462992665,0.0777525999626687,0.035558184469394336
6,-0.5079392218589782,0.012999312493397868,0.0015078911805786665,0.016474353268834355,0.061593604050940574,-0.03783198193729043,0.03185458824464541,2.1381243228072746,0.6516666666666666,1.0,2436,0.46945461553285794,175,3641,0.9943181818181818,0.9413133402275078,0.032184238977155215,0.3457387422110875,0.009277919235073913,-0.00014199948946252983,0.03165959591116695,0.03996190649534246,1.9772751972291225e-05,0.035569338080464474
7,-0.4979392218589782,0.012970654524436874,-0.0011825635400135586,0.01626926820995918,0.06061488087462146,-0.08339128974505598,0.031403180642475395,2.072436585080173,0.6683333333333333,1.0,2396,0.4583891333460876,172,3627,1.0,0.9367252066115702,0.03163739669421488,0.36197659588036474,0.009822411947898754,-0.0008842539351814919,0.0314751393588726,0.04039107852662864,-0.04997208476224501,0.0356555020365834
8,-0.4879392218589782,0.012711732999878376,-0.0007309542545998129,0.016543239430957393,0.059887778889260265,-0.05757929728302331,0.031475988708113176,2.092817408755629,0.6416666666666667,1.0,2422,0.45984431365103473,180,3613,1.0,0.9350414078674948,0.032479296066252585,0.34659989874058605,0.010428724328680368,-0.0005437973566762327,0.030236731018666654,0.040190617285628116,-0.09263416353884195,0.034860190537914615
9,-0.4779392218589782,0.013238252482168063,0.001111990393503847,0.016443789945054653,0.06132401069049207,-0.0567509783601024,0.03175530113827828,2.0539383357357575,0.6283333333333333,1.0,2453,0.4606572769953052,178,3625,1.0,0.9376616658044491,0.03116916709777548,0.33888701095461654,0.010253291139545205,-0.00026486900564829784,0.03099703704172362,0.03941904782587524,0.14796899495422736,0.034955309834245926
10,-0.4679392218589782,3.173628767948768e-06,0.0023369166747506105,0.05768262143490522,0.031469243982054876,1.492629015469273,0.04260549832427196,1.9859744152693548,0.7066666666666667,1.0,4465,0.8344234722481779,354,3583,1.0,0.9710027100271003,0.014498644986449864,0.11700741294462093,0.009272774072704527,-0.0003336194124536508,0.032238737417660444,0.03957771642398416,0.2616346214240374,0.03572024086401788
11,-0.4579392218589782,-0.0008174311898001878,0.0007977004836124977,0.030404558749574696,0.05861365882285935,-0.13435071049735436,0.04221519197169609,1.9189132337826746,0.6266666666666667,1.0,4414,0.8155949741315595,338,3585,1.0,0.9673502428494334,0.016324878575283325,0.11556048287755608,0.00761921158211158,-0.00026907680804699654,0.03392633796900446,0.040217305308753754,0.3053059444593913,0.03693813601289888
12,-0.44793922185897816,0.012302809282408345,-0.0034115714716814174,0.016877652510815123,0.05937126332206957,-0.06665403454276449,0.03165513467793169,1.9966855836168698,0.6316666666666667,1.0,2454,0.4501100513573001,182,3601,1.0,0.9324184360435008,0.03379078197824961,0.3473471508926388,0.005229525939602336,-0.0005263209500177467,0.03628298458102524,0.0414921797631529,0.3298628712853387,0.03880025925918027
13,-0.43793922185897816,0.013131763019312038,0.00013572141756757773,0.018129067817688797,0.05657095222767933,-0.05167693079725151,0.03202465658593128,2.0258311257143267,0.6066666666666667,1.0,2525,0.4643251195292387,212,3548,1.0,0.9258872651356994,0.037056367432150315,0.32497609415226186,0.0037817163519891237,-0.0009187338085444305,0.0370206895694368,0.042644547462406854,0.23175225492754187,0.03973324242287405
14,-0.42793922185897815,-0.0033157262425374374,-0.004832331566908672,0.030221649843885853,0.05642643004033961,0.16704450738024212,0.04129527588743857,1.9729492418964512,0.5983333333333334,1.0,4061,0.7462330025725836,342,3538,0.9827586206896551,0.9572510822510822,0.02999514852963129,0.15183725346073748,0.002563959601113702,-0.0007452371964316632,0.03806432290760213,0.04372703158841353,0.19673078716979941,0.040797547109750254
15,-0.41793922185897814,0.0009063854806908923,-0.0012434728786575463,0.05942452484043327,0.03250169498839445,1.482047389991974,0.043947670941632745,1.9806774565489704,0.64,1.0,4586,0.8524163568773234,354,3600,1.0,0.975609756097561,0.012195121951219513,0.09445353159851301,0.0015806190893890286,-0.0012972225734797361,0.039307779477879494,0.04452296791332026,0.2142969210406988,0.04183418463932932
16,-0.40793922185897813,-8.742035563690128e-05,0.0010885175185299408,0.03212875607154763,0.059464321068627896,0.010216102038145615,0.04370943452590226,1.9445119454908386,0.58,1.0,4507,0.8503773584905661,355,3600,0.9971910112359551,0.9761388286334056,0.013335080065319652,0.08678113207547168,0.0010107068448163628,-0.001840283786569005,0.040229767512534695,0.044859827701884715,0.2617546670602851,0.04248176596022328
17,-0.3979392218589781,0.0003517907118809888,5.948902464312756e-05,0.0320937555999255,0.059491970328887166,-0.14613639936312436,0.04369577503481686,1.9393146971207436,0.6216666666666667,1.0,4488,0.848714069591528,346,3602,0.9942528735632183,0.9745670995670995,0.01559001343484102,0.09404942007060013,0.0009265928710006655,-0.0017480025931270878,0.04070679440709652,0.04480329667064899,0.3222172433238231,0.042705954928232905
18,-0.3879392218589781,-0.0007168715303432798,-0.0019888708290182818,0.03163439415710287,0.05811091416350327,0.04282273577693492,0.04287544242894566,1.9391430245713148,0.5633333333333334,1.0,4259,0.8155878973573344,344,3574,0.9772727272727273,0.9680390032502708,0.027344134738500937,0.10388548448870163,-1.4552152131558977e-05,-0.0011733848190126775,0.0437951209199792,0.044216359078607485,0.6920177180025302,0.044005235966744174
19,-0.3779392218589781,-0.0005444288521581006,-0.0019792364936211102,0.03178267692891789,0.0571693097486686,0.05434854485677303,0.042626209097117354,1.9935910125044454,0.5816666666666667,1.0,4224,0.8085758039816233,344,3566,0.9608938547486033,0.967444384156267,0.03583088054756485,0.11134507401735577,-0.0013808915116315563,-0.0006875539538952415,0.045838697691406166,0.044286160723381415,0.8738683471185842,0.04505574251204952
20,-0.3679392218589781,-0.0002109728308045723,-0.00043714850447015326,0.06125537843992615,0.033208691096302964,1.5136276475986155,0.04510222766780643,1.9674481438362792,0.6783333333333333,1.0,4667,0.8930348258706468,341,3620,0.9742857142857143,0.9799675148890092,0.022873385412638253,0.07255804311774462,-0.0013153154070018032,-0.0007105520284269013,0.046125138762307644,0.043753068476461036,0.9834548727046974,0.04492344994269155
21,-0.3579392218589781,-0.0009876873190424764,-0.003828190680213665,0.06280436297030362,0.03175776551224203,1.5483643078917042,0.04466011903652563,1.8834826919206833,0.6,1.0,4525,0.8675230061349694,311,3636,0.9539877300613497,0.9779451317912856,0.03403356907368234,0.07948619631901839,1.495879191580252e-05,-3.29681593798613e-05,0.04547176495433783,0.04306587694168869,0.9918524371000708,0.04425247375960925
22,-0.3479392218589781,-0.0003710586463265785,0.0007491889398537148,0.057299417085354944,0.03220115867961795,1.4338059033813713,0.04295471594383004,1.9658984520299223,0.6266666666666667,1.0,4287,0.8247402847248941,353,3567,0.9697802197802198,0.9692934782608695,0.030463150979455327,0.10982942157239968,-0.00040923092259585324,-0.0007039352600541994,0.04479213891159882,0.04283958666954513,0.9606593503979861,0.043804985070397436
23,-0.33793922185897807,-0.00046627203077164147,0.002652451077660508,0.05785530802967229,0.03237476186346405,1.432299767608316,0.043278768697803775,1.9336025688125587,0.625,1.0,4302,0.8321083172147002,351,3579,0.9696132596685083,0.9720260727865291,0.029180333772481325,0.10493230174081235,-0.0003712158648170577,-0.0008929796097358612,0.04495459465581085,0.04235645157104301,1.0393297390836553,0.04363619038636073
24,-0.32793922185897806,0.001302919100110529,0.00024114213685210944,0.057466673439983955,0.03335325031277289,1.4533774851174148,0.04378013640780671,2.1342226605063996,0.65,1.0,4375,0.8423180592991913,368,3571,0.983957219251337,0.9730245231607629,0.02150912879395008,0.10249326145552563,-0.00033558621933526075,-0.0005045126083032942,0.04412632027489761,0.04238348675120206,0.9612795612417591,0.04324612480616525
25,-0.31793922185897805,-0.0011607938314543561,-0.0016497079826946017,0.029389301227021873,0.0567667079253764,0.1414043568460033,0.040845243038636174,1.9030846285481802,0.5883333333333334,1.0,3790,0.7390795631825273,331,3556,0.9792899408284024,0.9595250944414463,0.030592482365075665,0.1535081903276131,-0.00011895593849358822,-0.00031337631828348017,0.043341386451852836,0.043250852281471575,0.7752781376161273,0.04329609570276817
26,-0.30793922185897804,-0.0003364907341632183,-0.0010008194290127366,0.03235107638298689,0.05725676830014356,0.045298939725651216,0.04303856508668623,2.0183083605441365,0.6433333333333333,1.0,4205,0.8203277409285993,360,3565,0.989010989010989,0.96875,0.021119505494505496,0.11558915333593446,-0.0008911449336155618,-0.0004027532337852521,0.04273518659176158,0.044630695759886124,0.555539040970426,0.043672658620913796
27,-0.29793922185897803,0.0014661580847552533,-0.0002642573077438469,0.03188722375392687,0.05697587855356324,-0.045359524650523196,0.0426239672955725,1.886554383219193,0.5616666666666666,1.0,4123,0.8052734375,358,3559,0.9944444444444445,0.9660694896851248,0.019743032935215347,0.10937141927083331,-0.0003165747223775053,-0.00094939022832432,0.04059994790499095,0.045445096857227564,0.26134372616669116,0.04295426131294434
28,-0.287939221858978,-0.0027338657631889402,-0.005188861647281305,0.030111503261292194,0.056441475841813867,0.14553065118680444,0.041225449468537304,1.8725151711208905,0.6166666666666667,1.0,3742,0.7354559748427673,340,3556,0.9770114942528736,0.9621212121212122,0.030433646812957158,0.16313548218029353,0.0002933339309058727,-0.0011832868538629495,0.03951768531642487,0.046013196964618544,0.09160713165255088,0.04264193989548871
29,-0.277939221858978,0.0007418061480352433,0.0015710394284820931,0.03163291032767291,0.058917279154397,0.03609673297143292,0.04317088148557442,1.906881148467326,0.5866666666666667,1.0,4227,0.8317591499409681,339,3594,0.9741379310344828,0.9724025974025974,0.02672973578145992,0.0987012987012987,0.0006193701647764977,-0.0017458050667391637,0.03848859840666223,0.04699737848885842,-0.12198477223158988,0.042530732733208086
30,-0.267939221858978,0.0003657912361056927,8.592667643647353e-05,0.031080650219869586,0.05800182186621379,0.08166657082692005,0.0424586191195495,1.9029220828438305,0.5633333333333334,1.0,4073,0.801771653543307,338,3582,0.9712643678160919,0.9691558441558441,0.029789894014031947,0.1116686351706037,0.0010272556110224125,-0.001963102507168963,0.03843204454296302,0.046794016742704815,-0.10892747967391078,0.042407425479505226
31,-0.257939221858978,0.00010772466584669905,-0.003366356614103752,0.03244743568254045,0.06398711241287365,-0.0748597394382581,0.04556553208872034,1.9420303458701371,0.6166666666666667,1.0,4547,0.8924435721295387,312,3649,0.9629629629629629,0.9809139784946237,0.02806152927120669,0.06632646385345112,0.0012545987197881115,-0.001770989222903232,0.03878018396627343,0.046395560295917265,-0.03752274200521527,0.04241731207294969
32,-0.247939221858978,-0.0011661352003264028,-0.002940545506146228,0.03141513061626221,0.0572279570169913,0.10325617425743354,0.04240075169841474,1.8991425364756633,0.5383333333333333,1.0,4052,0.7895557287607171,353,3564,0.9751381215469613,0.9679521998913634,0.02845483928083764,0.11328916601714728,0.0014544938551589656,-0.001779300522948933,0.039689959213905085,0.045910620381186866,0.10032364356709,0.04268712511301723
33,-0.23793922185897798,0.010566761149460348,-0.003531170304497117,0.020457527829459997,0.05962017831194891,-0.10369185213855231,0.03492393816587788,1.8788425692323465,0.5516666666666666,1.0,2671,0.5229052466718872,212,3598,0.954954954954955,0.9413919413919414,0.051826551826551825,0.26319727225267553,0.0014594843984771946,-0.00170131705912925,0.039973618583284146,0.045795133702627396,0.13927396305918346,0.04278547893385475
34,-0.22793922185897797,0.00045422238545407914,7.919915375055548e-05,0.032144598966056766,0.058959215519285464,-0.08034920513458675,0.04353412843070068,1.8992449577898802,0.6716666666666666,1.0,4379,0.8489724699495929,346,3591,0.9774011299435028,0.973170731707317,0.02471406917459005,0.1014401576838568,0.001284303900456035,-0.0019839134429731576,0.04021239189591611,0.045678919302176706,0.18808850981487382,0.042858588455069964
