slice_index,station,cx,cy,axis_a,axis_b,theta,equivalent_radius,candidate_aspect,inlier_ratio,perimeter_completeness,soil_inside_points,soil_inside_point_frac,soil_inside_pixels,void_outside_pixels,soil_inside_frac,void_outside_frac,balanced_accuracy,cavity_quality
34,-0.15320465326309174,-0.001442271008344718,0.000331817388605053,0.05391197818763482,0.055311963128265085,-0.08265892422635014,0.05460748437427134,1.091264269225857,0.6966666666666667,1.0,4613,0.8583922590249349,616,3240,0.9746835443037974,0.9495896834701055,0.037863386113048514,0.09865339287929537
35,-0.14320465326309173,0.0008607536611906925,0.00014694169030774973,0.05514674243178513,0.0558756360255352,1.945831632976813,0.055509992867161885,1.0245327776301298,0.635,1.0,4787,0.8859892652230242,626,3256,0.9750778816199377,0.9570840681951793,0.0339190250924415,0.07239681658337961
36,-0.13320465326309172,-0.003462940680778146,0.00029266286476389386,0.05117053647110985,0.0559393496847709,-0.16335222317273043,0.05350183672748756,1.020069248413918,0.5766666666666667,1.0,4429,0.8263059701492538,578,3256,0.9763513513513513,0.9432213209733488,0.04021366383764993,0.10016355721393032
37,-0.12320465326309171,-0.0029762125805075806,-0.0018692215060015904,0.05132993112988751,0.05561608164197723,0.6755432552877636,0.05343004436079847,1.0439604361595605,0.64,1.0,4393,0.816542750929368,585,3245,0.975,0.9422183507549361,0.041390824622531935,0.11741263940520448
38,-0.1132046532630917,-0.00197764777346662,0.000988792896671355,0.052965363061055225,0.05567301601008875,-0.3423611324777125,0.05430231584083952,1.1132053209504036,0.6683333333333333,1.0,4472,0.8420259838071926,605,3248,0.9789644012944984,0.9480443666082895,0.03649561604860603,0.10557930082219293
39,-0.1032046532630917,0.001631496645110323,0.0009441783543252066,0.05399054099916462,0.05541591605043423,0.5225866354521645,0.05469858579092547,1.057328441042968,0.5866666666666667,1.0,4493,0.8477358490566038,620,3237,0.9810126582278481,0.9487104337631888,0.035138454004481574,0.08932830188679243
40,-0.09320465326309169,-7.213910512329685e-05,-0.00026556024227969064,0.055169838778663514,0.05622880960842155,1.2275182941702765,0.05569680745619791,1.027951259431637,0.6283333333333333,1.0,4701,0.887986399697771,622,3259,0.9810725552050473,0.9557184750733138,0.031604484860819446,0.07038187885656719
41,-0.08320465326309168,-0.0004202593127820362,0.00021714147416169316,0.05530697823312509,0.055674159340634556,0.0008469374620009041,0.05549026508136371,1.131576181528619,0.6583333333333333,1.0,4676,0.8804368292223687,634,3252,0.9783950617283951,0.9575971731448764,0.03200388256336431,0.07871242076194064
42,-0.07320465326309167,-0.00014880121650712373,0.0005722504146755534,0.05500559971979001,0.056164168401180756,2.337197485376408,0.05558186543892016,1.0398591500190055,0.6266666666666667,1.0,4672,0.8875379939209727,620,3264,0.9748427672955975,0.9577464788732394,0.033705376915581536,0.07047619047619047
43,-0.06320465326309166,-0.0014510288457275633,0.000730197145587211,0.05591526722559933,0.052929524764245055,1.2106615209049585,0.054401916522460306,1.078710138518559,0.705,1.0,4451,0.8465195891974134,597,3255,0.9691558441558441,0.9495332555425904,0.04065545015078271,0.10820368961582352
44,-0.05320465326309165,-0.0007200325981140898,6.479495926818896e-06,0.05555886503242017,0.05366020804894126,1.8780433525520706,0.05460128438601709,1.0461732628593132,0.6883333333333334,1.0,4454,0.8474124809741248,608,3247,0.9681528662420382,0.9505269320843092,0.04066010083682632,0.1050310755961441
45,-0.04320465326309164,-0.0005228496893928547,1.8665276105938126e-05,0.055616617283655884,0.054725872993367605,1.9515831914279116,0.05516944746674635,1.037262824962681,0.6683333333333333,1.0,4564,0.8658698539176627,615,3244,0.9639498432601881,0.9524368761009983,0.04180664031940684,0.08964364763169544
46,-0.03320465326309163,-0.0023694422081487676,0.0023424351312731164,0.050404816189173744,0.055303759743236834,-0.7501900484850922,0.052797498467522866,1.062721769866512,0.635,1.0,4207,0.7872380239520959,571,3234,0.9548494983277592,0.938479396401625,0.05333555263530786,0.13510385479041914
47,-0.023204653263091624,-0.0042425378469401,0.0058630192767518295,0.047696317336415155,0.05682605151474242,2.222896527304008,0.05206143857042974,1.0210332146446062,0.5266666666666666,1.0,4070,0.7651814250799023,518,3273,0.9487179487179487,0.9356775300171527,0.05780226063244931,0.12367111612458478
48,-0.013204653263091615,-0.0006185199875880211,0.0007391831460636921,0.0548514909442418,0.055869556431081595,-0.05463508785020864,0.05535818339358941,1.060646756101004,0.64,1.0,4660,0.8759398496240601,606,3252,0.9528301886792453,0.954225352112676,0.046472229604039336,0.07939849624060152
49,-0.003204653263091606,-0.00342767007635646,0.001982950909194439,0.0557650478995746,0.05111445640450099,1.1127031427867893,0.053389138499864514,1.0557177968616027,0.5633333333333334,1.0,4345,0.8151969981238274,562,3252,0.9525423728813559,0.9415170816444702,0.052970272737086946,0.10410569105691057
50,0.006795346736908403,-0.0007481049125594694,-1.26575139946344e-05,0.054212494325226075,0.05560813504541376,-0.09226005454682859,0.05490588042810987,1.0617672052597646,0.7016666666666667,1.0,4625,0.8633563561694979,606,3244,0.9588607594936709,0.9507620164126612,0.045188612046833956,0.09587829008773563
51,0.016795346736908412,9.599897468331073e-05,-0.0005579088711465039,0.053931948286076996,0.055007900871738624,1.086900901449211,0.05446726783252725,1.120761828321532,0.695,1.0,4602,0.8512763596004439,604,3237,0.9556962025316456,0.9487104337631888,0.047796681852582845,0.10336293007769148
52,0.02679534673690842,-0.0008764633399119155,-0.0003176017407838171,0.05468660226740435,0.055400262586116564,0.7337077131166965,0.05504227580284738,1.0779863817339386,0.6916666666666667,1.0,4691,0.8743709226467847,613,3239,0.9578125,0.9515276145710928,0.045329942714453585,0.08689344516930722
53,0.03679534673690843,0.00036775634470949826,-4.510657477711526e-05,0.05594448846947006,0.05506924715965616,0.11474098746884491,0.05550514266935795,1.0483278937309737,0.6116666666666667,1.0,4737,0.887743628185907,608,3259,0.9529780564263323,0.9568408690546095,0.0450905372595291,0.06866348075962021
54,0.04679534673690844,-0.0028702683331572076,-0.0021273547961648976,0.05478512227346639,0.05219950008762843,1.8884017976370522,0.05347668646162123,1.0467080199395715,0.6333333333333333,1.0,4382,0.8152558139534883,591,3225,0.9594155844155844,0.940781796966161,0.04990130930912728,0.11700465116279071
55,0.05679534673690845,0.0012920339400975928,0.0003144064893603795,0.05395231015058806,0.05519362025210268,0.33015283011296814,0.054569435750933155,1.055532599038766,0.6783333333333333,1.0,4530,0.8487914558740866,608,3240,0.9620253164556962,0.9495896834701055,0.044192500037099146,0.1025697957654113
