slice_index,station,cx,cy,axis_a,axis_b,theta,equivalent_radius,candidate_aspect,inlier_ratio,perimeter_completeness,soil_inside_points,soil_inside_point_frac,soil_inside_pixels,void_outside_pixels,soil_inside_frac,void_outside_frac,balanced_accuracy,cavity_quality,regularized_cx,regularized_cy,regularized_axis_a,regularized_axis_b,regularized_theta,regularized_equivalent_radius
0,-0.5679392218589783,-0.011654088756089174,0.011333084589292762,0.04599597361947807,0.01632102890607572,1.4301247925406246,0.027398934559697715,1.3444963009252149,0.6383333333333333,1.0,2563,0.47062063900110174,224,3441,1.0,0.9007853403141362,0.04960732984293194,0.3379204921042967,-0.009585508647677796,0.00702224418062433,0.02971348599623819,0.029225786251394718,0.7449296895233524,0.02946862722472609
1,-0.5579392218589783,-5.805931516913999e-05,0.0016655279364922043,0.04725891894350109,0.029479757996024657,1.4221198394387744,0.037325346530315794,1.3335004429894541,0.6266666666666667,1.0,4777,0.817419575633128,399,3457,0.9975,0.9486827661909989,0.02690861690450055,0.11441706593657316,-0.008313465588633306,0.005429525008420966,0.03220330010874639,0.03091134067425269,0.8117890812574153,0.03155070808233404
2,-0.5479392218589783,0.0006366729359702617,0.0007199539121512117,0.029819655193546304,0.04866602220937588,-0.18301916606226662,0.0380946715686729,1.5576314566151048,0.6116666666666667,1.0,5436,0.8230128690386072,400,3461,1.0,0.9497804610318331,0.025109769484083423,0.10825712843805196,-0.007212131939437786,0.00401559455462382,0.03438246147859266,0.032453841805260966,0.8665586417748832,0.03340423574491303
3,-0.5379392218589782,-0.012687437880801494,0.0051169804369518195,0.01604800232326072,0.05186309643515162,-0.09872246132052692,0.028849594314007396,1.7413059942633438,0.6116666666666667,1.0,3445,0.45580841492458324,202,3513,1.0,0.9143675169182718,0.042816241540864136,0.3328638528711299,-0.006281507700091239,0.002780452819232889,0.036250970105777,0.033853289644419554,0.9092383710757557,0.03503162272693149
4,-0.5279392218589782,-0.013307087106000816,0.002345349768717373,0.05413286429865614,0.01593208200331039,1.4900934162857016,0.029367485985018583,1.8639040826162108,0.6483333333333333,1.0,3796,0.44758872774436975,184,3547,1.0,0.9189119170984456,0.0405440414507772,0.3581466415124003,-0.005521592870593663,0.001724099802248174,0.0378088259902994,0.03510968419172844,0.939828269160033,0.036434268761420564
5,-0.5179392218589782,-0.012724398781066636,0.00030232890900375924,0.05836307948213977,0.0158825573805425,1.5253118161000716,0.03044593501241582,2.0333800016933075,0.615,1.0,2250,0.44404973357015987,180,3603,1.0,0.9324534161490683,0.03377329192546584,0.3419094138543517,-0.004932387450945058,0.0008465355036696761,0.03905602913215988,0.03622302544718763,0.9583283360277152,0.03761286398455094
6,-0.5079392218589782,-0.01221525883406841,-0.0008476290782482789,0.016426203875237338,0.06069888469109725,-0.08033625811079916,0.03157613426205757,2.0871136887525927,0.6616666666666666,1.0,2395,0.461553285796878,176,3628,1.0,0.937952430196484,0.031023784901758014,0.356272242564399,-0.004513891441145425,0.00014775992349739392,0.03999257953135843,0.03719331341079714,0.9647385716788022,0.03856755818840551
7,-0.4979392218589782,-0.0009852970370452974,-0.0011346537708054767,0.030679314243128128,0.05845067807975631,0.010550276065456613,0.04234650777257512,2.0120312175986452,0.6566666666666666,1.0,4346,0.8314520757604744,335,3597,0.9911242603550295,0.9705882352941176,0.019143752175426382,0.11067980358395513,-0.004266104841194795,-0.00037222693826867285,0.04061847718789527,0.03802054808255717,0.9590589761132995,0.0392980503964589
8,-0.4879392218589782,-0.00024229483781814667,-0.0007594850251943106,0.058263155194439725,0.03036308066369005,1.422907237314642,0.04206006277800671,2.0376089920727534,0.6733333333333333,1.0,4346,0.8251376495158534,340,3597,1.0,0.9711123110151187,0.014443844492440605,0.11774064932599201,-0.004052258046273834,9.55401377417651e-05,0.041746805137359164,0.03823765121396853,1.0726921303374408,0.03995372040423582
9,-0.4779392218589782,0.001249412422782289,-0.0001707067098396059,0.05940263115081305,0.03097053312714748,1.498694019781967,0.042892087334332175,2.0486950484782347,0.6783333333333333,1.0,4497,0.8445070422535211,336,3606,1.0,0.9724919093851133,0.013754045307443365,0.10547605633802816,-0.0032483326288014836,-0.0003352523636498949,0.04283273709726952,0.03888229856052067,1.179534763110209,0.0408097448164078
10,-0.4679392218589782,-0.0008081009553497568,0.002545583902000033,0.05685230006831779,0.030793758223526202,1.36918715314532,0.04184131908478914,2.0519982433655652,0.6316666666666667,1.0,4292,0.8020930667165016,348,3568,1.0,0.9653679653679653,0.017316017316017316,0.12501121285740982,-0.003262918377908347,-0.0007565622486129773,0.04162511166182063,0.040034903655428375,0.959869057991366,0.040822265187363586
11,-0.4579392218589782,-0.0003228231877209381,-0.0008092318534201215,0.057482433043289476,0.03136780801185588,1.4515469933797789,0.04246290055750154,1.9155089448683402,0.6483333333333333,1.0,4482,0.8281596452328159,356,3575,1.0,0.9693600867678959,0.015319956616052061,0.111409830007391,-0.00424868371798078,-0.0004980942773356215,0.04023856338537179,0.040432552469393875,0.8406723688897286,0.0403354413062765
